date,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
01 1 2019,25.6,28.8,22.8,29.6,32.4,27.5
01 2 2019,25.9,29.5,22.5,29.7,32.5,26.6
01 3 2019,25.8,29.5,22,30.1,33.9,26.2
01 4 2019,25.8,29.6,23.1,29.2,32,27.3
01 5 2019,25.3,29.5,22,28.7,31.9,26.1
01 6 2019,24.6,28.2,21.4,28.3,32,25.2
01 7 2019,24.6,28.8,21,27.7,30.7,24.6
01 8 2019,24.8,29.3,20.7,28,31.2,24
01 9 2019,25.3,29.1,21.9,29.2,32.5,26
01 10 2019,25.1,29.5,21.9,28.9,32.1,25.9
01 11 2019,25.3,29.4,22.4,29,31.8,26.5
01 12 2019,25.6,30,22.2,29.6,34.9,26.7
01 13 2019,25.8,29.6,23.2,29.4,33.9,26.7
01 14 2019,25,30,21.1,28.1,32.2,24.9
01 15 2019,24.9,29,21,27.6,30.5,24.8
01 16 2019,24.6,28.8,20.9,27.5,30.9,24.7
01 17 2019,24.5,29.8,20.5,27.5,33.8,23.5
01 18 2019,24.9,28.8,21.4,27.2,29.4,25.4
01 19 2019,24.7,29.2,20.5,27.6,30.7,24
01 20 2019,25.5,30,21.4,29.1,33.7,25.5
01 21 2019,25.4,29,22.2,28.5,31.8,25.8
01 22 2019,26.1,29.6,23.5,29.5,31.8,26.7
01 23 2019,25.9,28.8,24,28.4,30.9,25.5
01 24 2019,25.9,29.6,23.4,29,33.7,26.2
01 25 2019,25.7,29.4,22.5,28.7,33,26.4
01 26 2019,24.8,27.8,21.9,27.1,30.3,24.9
01 27 2019,24.2,27.4,21.2,25.7,28.4,24.1
01 28 2019,23.7,27.4,19.8,25.4,28.5,22.6
01 29 2019,23.3,27.8,20,25.2,28.6,22.5
01 30 2019,24,28.9,20,26.3,29.6,22.8
01 31 2019,24.5,29,21,27.6,31.6,24.3
02 1 2019,24.7,28.5,22.1,27,30.1,25.2
02 2 2019,24.6,28.8,20.9,26.8,29.6,24.2
02 3 2019,25,30,21,28.4,32.6,24.6
02 4 2019,25.9,30.2,23.4,28.4,32.4,26.1
02 5 2019,25.1,29.5,20.4,27.9,33.3,23.8
02 6 2019,25,28.9,21.3,27.7,33.2,24.2
02 7 2019,25,29.4,20.9,27.4,32.5,23.9
02 8 2019,24.8,29.4,20.2,28.1,33.9,23.6
02 9 2019,25.5,30.5,20.5,28.9,35.4,24.2
02 10 2019,26.1,30.4,22.6,29.4,33.5,26.8
02 11 2019,26.1,30.6,22.4,28.9,32.2,26.9
02 12 2019,25.5,29.8,21.2,28,30.9,24.9
02 13 2019,25.8,29.4,22.6,28.5,31.1,26.9
02 14 2019,25.3,30.5,21.1,27.8,32.6,24.9
02 15 2019,25.4,30.2,20,27.2,32.4,22.9
02 16 2019,26,30.9,21.9,28.9,34.7,25.5
02 17 2019,25.5,29.9,21,28.1,34,24.3
02 18 2019,26.3,30,24,27.4,30.5,25.6
02 19 2019,26.2,30.6,22.4,27.8,31.2,25.4
02 20 2019,25.8,30.2,21.8,27.3,30.9,25.2
02 21 2019,26,30.2,21.9,27.1,31.4,23.1
02 22 2019,25.6,29,21.4,28.3,33.3,25
02 23 2019,25.7,29.8,21.4,28.4,32.8,25.3
02 24 2019,25.7,30,20.6,28.7,34.3,24
02 25 2019,25.9,29.4,22.5,28.9,32.8,26.4
02 26 2019,26.1,29.4,23.4,28.4,33.2,25.9
02 27 2019,26.1,30.4,23,27.4,31.2,24.5
02 28 2019,25.9,30.2,21.5,28.6,32.3,25
03 1 2019,26.1,29.9,22.5,28.9,33.3,25.4
03 2 2019,26.3,31,22.2,28.1,32.6,25.5
03 3 2019,26,30.7,20.5,29,35.4,23.1
03 4 2019,27.5,31.9,23.2,30.9,35.9,27.8
03 5 2019,27.4,31.8,24.6,30,33.5,28.1
03 6 2019,27.1,31.9,22.7,30.3,37.1,26.4
03 7 2019,27.5,31.6,23.4,30.8,35.1,27.3
03 8 2019,27.7,32.3,24,30,35.2,27.7
03 9 2019,27.6,32.1,23.8,30,36.6,27.1
03 10 2019,26.8,32.3,21.9,30.2,35.8,25.2
03 11 2019,27.4,31.9,24.5,31.6,35.3,29.4
03 12 2019,27.6,31.5,24.1,31.7,36.4,27
03 13 2019,27.6,31.5,24.5,31.1,35.2,28.2
03 14 2019,27.8,30.6,24.2,30.5,34.5,26.8
03 15 2019,26.7,30,24.5,31.4,35.3,29.5
03 16 2019,27.1,31.5,24.6,29.9,33,28.7
03 17 2019,27.5,32,23.6,30.7,35,28.4
03 18 2019,28,33,24.4,30.7,35.6,27.8
03 19 2019,27.9,33.2,22.6,31,36.3,27.3
03 20 2019,27.8,33.2,22.5,30.3,34.7,26.9
03 21 2019,27.9,33,22.5,30.1,34.8,26.4
03 22 2019,28,32.7,23.1,31,36.1,26.9
03 23 2019,27.9,32.8,23.5,30.7,36.2,28
03 24 2019,27.7,32.3,24.4,29.1,32.6,26.7
03 25 2019,27.5,32.2,23.2,29.3,33.2,27.1
03 26 2019,27.5,32.2,21.9,30.1,35.3,25.6
03 27 2019,28.2,31.6,25,30.6,32.6,28.8
03 28 2019,28.6,32.3,25.2,32.3,38.1,28.9
03 29 2019,28.8,33.9,25.5,32,37.6,29.4
03 30 2019,28.2,33.1,24.3,31.2,36.5,28.5
03 31 2019,28.5,33.4,24.3,30.5,36.1,27
04 1 2019,28.2,33,24.6,30.7,36.3,27.8
04 2 2019,28,33,23.5,30.1,36.1,26.6
04 3 2019,28.6,33,24.9,30.9,34.6,28.3
04 4 2019,28.6,33.2,24.9,31.3,36.1,28.5
04 5 2019,29.3,34,25.5,32.2,37,29
04 6 2019,29.2,33.2,25.8,33.4,37.9,30.5
04 7 2019,29.6,34.2,25.6,33.8,39,29.6
04 8 2019,29.8,34.8,26.4,33,38.9,30.3
04 9 2019,29.8,34.3,25.9,33.3,37.3,30.5
04 10 2019,30.3,35.2,26.8,33.6,38.4,31.2
04 11 2019,29.4,32.4,26.5,33.1,36.5,30.5
04 12 2019,28.9,33.5,26.1,34.3,38.5,31.5
04 13 2019,29.8,33.2,26.9,34.4,38,32.5
04 14 2019,30.3,35.2,26.6,34,37.2,31.8
04 15 2019,29.9,34.1,26.6,33.7,38,30.7
04 16 2019,30,33.7,26.1,34.2,39,31.1
04 17 2019,30.1,33.7,27.4,34.9,39.7,32.6
04 18 2019,30.1,34.1,27.3,35,39.8,31.7
04 19 2019,30.4,34.7,27,34.9,38.4,31.9
04 20 2019,30.7,35.7,26.8,33.9,39,31.2
04 21 2019,30.1,35.2,25.2,34.4,40.1,29.4
04 22 2019,30.8,35.8,27.6,33.8,38.2,31
04 23 2019,30.3,35.3,26.4,32.3,35.7,29.9
04 24 2019,30.2,35,26.3,33.2,36.9,31.2
04 25 2019,30.5,36.1,26.2,32.6,38,29.7
04 26 2019,30.1,35.8,26.1,32.9,37,30.3
04 27 2019,29.8,35.2,26,31.9,37.2,28.6
04 28 2019,29,35.2,23.8,32.5,38.6,28
04 29 2019,30.1,34.9,26.8,33.3,38.1,30.5
04 30 2019,30.3,35.1,26.3,33.5,37.8,30.3
05 1 2019,29.9,34.2,26.5,34.1,38.9,31.2
05 2 2019,29.3,33.8,26.6,34.5,39.9,31.7
05 3 2019,29.3,33.2,25.8,34.4,39.6,31.5
05 4 2019,29.3,32.3,26.7,33.8,37.4,31.5
05 5 2019,29,31.9,27.1,33.9,37.1,31.8
05 6 2019,27.8,30,26.3,33.2,34.6,31.8
05 7 2019,27.3,29.5,25.9,32.7,34.5,30.8
05 8 2019,27.2,30,25.8,33.4,36.1,31.7
05 9 2019,27.7,30.8,25.5,33.6,38.2,31.6
05 10 2019,27.9,30.5,25.6,33.4,36.8,31.1
05 11 2019,28,30.1,26.5,33.9,37.1,32.3
05 12 2019,28.5,31,26,34.8,38.2,32.2
05 13 2019,28.7,32.5,26,35.3,40.3,31.9
05 14 2019,29.6,33,26.9,36,40,32.9
05 15 2019,29.5,32.2,26.8,35.9,40.1,33.3
05 16 2019,30.2,33.5,27.2,36,41.1,33.3
05 17 2019,29.5,32.3,26.5,35.8,39,32.6
05 18 2019,29.7,32.1,27.5,35.4,37.9,34
05 19 2019,29.6,32,27.3,35.6,38.7,33.7
05 20 2019,29.3,32,27,35.6,38.9,33.9
05 21 2019,28.9,31.5,26.6,34.9,38,32.6
05 22 2019,28.6,31,26.8,35,38,33.2
05 23 2019,28.7,31.4,26.1,35.2,39,33
05 24 2019,28.2,31.7,26.2,34.4,39.3,32.5
05 25 2019,28,30.4,25.7,33.2,34.4,31.3
05 26 2019,27,29.4,25.9,32.9,35.3,31.8
05 27 2019,27.6,31.8,25.4,33.4,38.4,31.4
05 28 2019,28.3,32.2,25.5,34.1,37.9,31.2
05 29 2019,28.8,32.3,25.5,35.1,39.3,31.1
05 30 2019,29.7,33.1,27,36,39.6,33.6
05 31 2019,30,33.6,26.8,35.9,41.7,32.4
06 1 2019,30.2,34.2,27.2,36.1,40.8,32.8
06 2 2019,30.8,34.5,27.4,35.6,39,33.8
06 3 2019,29.9,33.5,26.9,36,40.2,33.7
06 4 2019,30.1,33.6,27.2,35.6,40.8,31.6
06 5 2019,29.9,33.3,26,35.2,40,31.7
06 6 2019,30.6,35,27,34.5,38.7,31.2
06 7 2019,30.5,34.3,27.2,34.7,38.8,31.8
06 8 2019,30.8,35,27.4,35.8,40.9,33
06 9 2019,29.5,34.5,26.5,34.9,40.6,32.2
06 10 2019,28.8,32.5,26.5,34.5,39.2,32.1
06 11 2019,28.5,31.8,26.3,34,38.1,31.3
06 12 2019,28.9,30.8,27,34.7,36.9,32.1
06 13 2019,28.5,30.2,26.7,34.1,36,31.6
06 14 2019,28.4,31.2,27,33.5,36.4,31
06 15 2019,28.6,30.9,26.8,33.5,35.8,30.9
06 16 2019,28.5,31.5,26.5,34.6,38.7,30.6
06 17 2019,28.7,33.1,25.5,34.8,39.4,31.7
06 18 2019,29.3,32.8,26.5,34.8,38.5,33.1
06 19 2019,29.6,32.5,26.6,35.2,38.5,32.6
06 20 2019,29.1,32.7,26.2,36,41.3,32.3
06 21 2019,29.2,32.2,26.9,35.6,39.9,32.5
06 22 2019,28.8,32.2,26.1,35.2,40.2,32.6
06 23 2019,28.4,31.4,26.2,34.5,39,31.3
06 24 2019,28,30,26.2,33.6,36.4,32.1
06 25 2019,27.4,29.5,25.3,33.2,35.9,29.9
06 26 2019,27.5,29.8,26.3,33,36.7,31.3
06 27 2019,26.8,28.8,25.8,31.2,32.9,28.8
06 28 2019,27,28.8,25.9,30.8,32.4,29.5
06 29 2019,27,28.1,26.1,30.5,31.8,29
06 30 2019,26.5,28.4,26,30.7,32,29.3
07 1 2019,26.3,26.9,25.6,30.3,31.6,29.3
07 2 2019,27,28.8,25.7,32.8,34.7,31
07 3 2019,28.2,31.1,25.4,34.2,38.5,31
07 4 2019,28.3,31.4,25.9,34.2,38.3,31.2
07 5 2019,27.6,29.8,25.5,33.7,37.3,31.3
07 6 2019,27.8,30.1,25.5,33.6,36.7,31.6
07 7 2019,28.1,30.5,25.8,33.9,36.8,31.4
07 8 2019,28.4,30.4,26.3,33.8,36.5,32.5
07 9 2019,28.1,30,26.3,33.6,35.6,32
07 10 2019,27.9,30,25.9,33.1,35.9,30.9
07 11 2019,28.3,31,25,34.4,38.7,30
07 12 2019,28.4,31.6,25.8,35.2,39.8,31.9
07 13 2019,27.9,30.7,25.4,34,38.3,30.8
07 14 2019,27.6,30.5,25.8,33.4,36.7,31.6
07 15 2019,27,28.5,25.8,32.7,34.4,31.6
07 16 2019,26.3,27.5,25.2,31.1,32.7,29
07 17 2019,26.1,26.5,25.7,28.5,29.8,27.2
07 18 2019,27.2,28.6,26,29.9,32.1,27.1
07 19 2019,28.1,30.4,26.1,32,34.9,29.4
07 20 2019,28,29.9,26.4,33.9,36.8,31.3
07 21 2019,27.3,29.8,25.5,33.4,36,31.7
07 22 2019,27.2,30.4,25.6,33.2,37.1,31.3
07 23 2019,26.7,28.9,25.5,32.6,34.7,31.4
07 24 2019,27.1,29.5,25.2,32.9,36.2,31
07 25 2019,26.9,29.2,25.4,32.1,34.7,30.5
07 26 2019,27,28.9,25.4,32.4,35.7,30.8
07 27 2019,26.6,28.5,25.4,31.9,33.7,30.7
07 28 2019,25.9,27.9,24.8,31.1,33.2,29.4
07 29 2019,26.4,29,25.1,31.2,36.3,28.5
07 30 2019,26.4,28.9,24.9,31.7,35.1,28.9
07 31 2019,27.1,29.5,25,32.2,35.4,30.1
08 1 2019,27.1,29.1,25.9,31.5,34.4,30.1
08 2 2019,26.3,27.5,25.8,30.1,32,29
08 3 2019,25.7,26,25.3,28.4,30.1,26.8
08 4 2019,25.8,26.2,25.4,28.4,30.1,27.4
08 5 2019,26.5,27.6,25.5,29.9,31.6,28.6
08 6 2019,26.3,27.5,25.8,29.6,30.9,28.6
08 7 2019,26.7,27.8,25.8,29.6,30.6,28.1
08 8 2019,26.9,28.5,26,29,30.7,27.5
08 9 2019,27,28.5,26,29,30.5,27.8
08 10 2019,27.2,28.5,26,29.9,30.9,28.4
08 11 2019,28.3,29.5,27.3,30.7,32.5,29.1
08 12 2019,28.1,29.7,26.9,31.1,33.1,29.5
08 13 2019,27.7,29.1,26.8,30.9,33.1,29.7
08 14 2019,28,29.8,26.4,31.7,34.2,29.6
08 15 2019,28.2,29.5,27,31.7,32.7,30.7
08 16 2019,28.4,30,26.6,32.5,34.8,30.9
08 17 2019,27.9,29.8,26.4,33,35.1,30.9
08 18 2019,27.9,30.1,26.4,33.4,36.5,31.7
08 19 2019,27.6,30.1,25.7,33.6,36.6,31.8
08 20 2019,27.4,29.5,25.9,32.9,36,30.8
08 21 2019,26.8,28.7,25.4,31.9,33.6,30.2
08 22 2019,26.3,28.6,24.1,30.9,33.2,28.7
08 23 2019,27,27.9,26.2,30.9,32.1,29
08 24 2019,26.3,27.9,25.4,29.6,31,27.8
08 25 2019,27,28.9,25.8,32,34.2,30.2
08 26 2019,27,29.5,25.5,32.7,36.6,30.6
08 27 2019,25.7,26.5,24.9,30.8,32.2,29.6
08 28 2019,26.7,28.9,25.5,31.4,33.9,29.9
08 29 2019,26.7,28.5,25.1,31.8,34,29.5
08 30 2019,27,29.2,25.2,31.8,35.3,29
08 31 2019,26.2,28,25.2,31.5,32.8,30.3
09 1 2019,26.7,30.6,24.7,32,36.1,30.1
09 2 2019,26.4,28.4,24.4,30.9,34,29.2
09 3 2019,26.6,28.1,25.5,30.5,32.3,28.7
09 4 2019,27.7,30.1,24.9,32.5,35,30.8
09 5 2019,28.2,29.7,27.4,31.4,32.8,30.8
09 6 2019,28,30.2,26.5,31.2,34.1,29.9
09 7 2019,27.2,29.2,26.1,30.6,31.9,29.4
09 8 2019,26.9,28.9,25.8,30.7,33.3,29.4
09 9 2019,26.6,28,26,30.3,31.5,29.5
09 10 2019,26.8,28,25.7,31.8,33.4,29.8
09 11 2019,26.1,27.6,24.8,31,32.5,29.3
09 12 2019,25.7,27,24.8,30,31.5,27.8
09 13 2019,26.3,28.5,24.4,32.1,35.3,29.8
09 14 2019,26.6,29.5,25,31.9,36.5,30.7
09 15 2019,25.9,27.1,25.3,29.7,31.6,27.9
09 16 2019,25.7,26.5,25.2,29.1,30.1,28
09 17 2019,26.1,27.8,25,29.5,31.5,27.2
09 18 2019,25.9,27.2,24.8,28.1,29.3,26.7
09 19 2019,26,27.6,25.1,29.7,31.4,28.3
09 20 2019,25.6,26.8,25,29.1,30.5,27.3
09 21 2019,26.6,28.9,24.5,30.5,33.8,27.8
09 22 2019,26.9,29.6,23.5,32,35.8,28.5
09 23 2019,27.2,30.5,23.8,33.2,38,28.7
09 24 2019,27.1,29.3,24.7,33.4,37.8,30.4
09 25 2019,27.5,30.1,25,33.8,38,31
09 26 2019,27.4,29.9,25,33.9,37.3,31.2
09 27 2019,27.9,30.2,25.6,34.5,38.4,31.4
09 28 2019,28.1,30.6,25.6,34.4,38.6,31.5
09 29 2019,27.5,29.7,25.6,32.5,35.4,30.8
09 30 2019,27.1,28.5,26,31.5,32.8,30.5
10 1 2019,27.4,29.6,25.9,32.8,36.5,30.9
10 2 2019,26.8,30,24.9,32.9,38.1,30.6
10 3 2019,26.8,30.3,24.2,32.3,37.1,29.5
10 4 2019,26.5,29,24.2,32.4,35.9,29.5
10 5 2019,27.2,30,24.9,33.1,38,30.2
10 6 2019,27.5,30.4,24.8,33.2,37.4,30.2
10 7 2019,27.6,32,24.2,33.1,38.7,29.8
10 8 2019,27.7,31.1,24.4,33.7,38.7,29.5
10 9 2019,27.6,31.1,24.8,33.5,38,30.8
10 10 2019,27.3,30.4,24.8,33.3,37.3,30.5
10 11 2019,26.8,29.4,24.4,32.4,36.1,29.8
10 12 2019,27.1,30.4,24.6,32.8,37,30.4
10 13 2019,27.4,30.9,25,32.1,36.6,29.4
10 14 2019,27.4,30.9,24.4,32.2,37.4,29.7
10 15 2019,27.2,31.2,23.5,32,35.9,28.4
10 16 2019,27.2,31.1,23.6,32.3,36.9,28.9
10 17 2019,27.4,30.6,24.2,33.1,37.3,29.7
10 18 2019,27.9,30.6,24.6,33.6,37.6,30.3
10 19 2019,27.8,30.4,25.6,34,36.7,31.8
10 20 2019,27.7,30.9,25.5,33.3,37.6,31.1
10 21 2019,27.7,30.1,25.1,33.4,37.2,30.7
10 22 2019,27.8,30.5,24.8,33.7,37.7,30.5
10 23 2019,27.7,30.8,24.9,33.6,37.6,30.4
10 24 2019,27.8,30.6,25,33.4,37.4,30.4
10 25 2019,28,31.4,24.5,33.1,37.2,30.2
10 26 2019,28.1,32.2,24.7,33.1,37,30.4
10 27 2019,28,32.2,24.5,32.4,35.8,28.9
10 28 2019,27.4,30.8,25.1,32.5,35.6,30.6
10 29 2019,27.8,31,25.3,32.3,34.6,29.8
10 30 2019,27.1,30,25.6,32.5,36.8,30.4
10 31 2019,27.7,32,24.1,33,37.9,29.5
11 1 2019,26.5,29.5,24.9,32,36.2,29.4
11 2 2019,26.8,29.4,25.4,32.8,35.6,31.1
11 3 2019,26.9,29.2,24.6,31.9,34.8,29.9
11 4 2019,26.7,30,24,32.1,35.7,29.4
11 5 2019,26.8,29.3,25,32.6,36.5,30.5
11 6 2019,26.9,30,25.5,32.5,35.6,30.6
11 7 2019,27,29.6,25.1,32.2,34.9,30.2
11 8 2019,27.1,30.8,24.9,32,37.1,29.1
11 9 2019,27.1,30.6,24.6,33,38.1,30.1
11 10 2019,26.7,29,24.9,31.7,34.6,29.8
11 11 2019,26.4,29.8,23.9,31.4,35.7,28.7
11 12 2019,26.9,28.9,25.3,32.5,34.6,30.9
11 13 2019,26.6,29.4,24.2,30.4,33,27.7
11 14 2019,25.5,27.2,24,29.7,32.6,27.6
11 15 2019,26.8,29.8,24,31.4,34.1,28.8
11 16 2019,27.1,29.8,24.6,33.2,36.5,30.5
11 17 2019,27.4,29.6,25,33.1,34.8,30.8
11 18 2019,27.5,29.6,25.1,32.7,35.1,30.8
11 19 2019,27.4,30.5,24.1,33.1,36.8,29.1
11 20 2019,27.3,30.3,25.1,32.5,36.7,29.3
11 21 2019,26.8,29.1,25,32.1,33.9,30.1
11 22 2019,26.8,29.2,24.5,32.6,35.3,29.8
11 23 2019,26.9,29.4,24.8,32.6,35.4,30.5
11 24 2019,27.1,31.2,24.6,32.9,37.7,30.2
11 25 2019,26.7,30.6,24.1,32.3,36,29.5
11 26 2019,27.1,31,24.4,32.1,35.1,29.8
11 27 2019,27.3,31.6,24.1,32.1,35.6,28.6
11 28 2019,27.5,31,25,32.2,34.1,30.5
11 29 2019,26.9,30.6,24,30.2,33.2,28
11 30 2019,25.8,29.6,23.1,28.7,31.1,26.2
12 1 2019,26,30.5,22.5,28.7,32.6,25
12 2 2019,26.6,30.4,23.5,29.3,33.1,25.6
12 3 2019,25.5,26.4,23.9,26.4,29,22.8
12 4 2019,27.4,30.2,26,30.2,34.1,26.7
12 5 2019,26.9,29.5,25.2,32.1,34.9,29.1
12 6 2019,26.7,28.9,25,32.1,34.9,30.3
12 7 2019,26.4,29,23.9,31.6,35.2,28.2
12 8 2019,26,29.6,23.6,29.6,34.1,26.5
12 9 2019,25.6,29.4,23,29,32.7,25.1
12 10 2019,25.5,28.4,23.1,29.6,33,25.1
12 11 2019,25.9,29.2,22.9,31.1,35.4,27.4
12 12 2019,26.3,30,23.5,30.7,33.6,28.3
12 13 2019,26.5,31.4,22.7,30.9,35.5,27.1
12 14 2019,26.8,31.1,22.7,31.5,35.2,27.4
12 15 2019,26.9,31.3,23.6,31.6,35.3,28.6
12 16 2019,27.1,31.3,24.5,32,34.5,30.6
12 17 2019,26.8,31.5,23,31,34.4,27.7
12 18 2019,26.5,31.5,22,30.4,34.4,26
12 19 2019,26.7,30.8,23.2,31.4,34.9,28
12 20 2019,26.4,30.5,23,30.8,34.8,27.7
12 21 2019,26.6,30.6,23.1,31,34.6,27.7
12 22 2019,26.4,30.4,23,30.7,35.1,27.3
12 23 2019,26,28.5,22.9,30.7,33.9,26.9
12 24 2019,26.4,31.6,22.2,30.1,35.2,26.7
12 25 2019,26.2,29.2,24.5,29.4,31.6,26.8
12 26 2019,26.9,29.7,24.7,30.5,33.5,27.5
12 27 2019,27,30,24.2,31.2,34.4,29.1
12 28 2019,27.2,30.2,24.9,30.6,32.6,29.3
12 29 2019,26.4,30.3,23,29.3,31.8,27
12 30 2019,26.6,30.9,23.5,31.1,34,28.3
12 31 2019,26.7,31.1,23.4,30.5,34.1,26.4
01 1 2020,26.6,30.8,24,30.9,34.4,27.8
01 2 2020,26.8,31.2,22.8,30.7,33.9,27.2
01 3 2020,26.2,31,22.5,29.3,33.2,26.5
01 4 2020,26,31,22.3,29,33,24.8
01 5 2020,26.3,30.5,23.1,29.1,31.4,27.6
01 6 2020,26.6,31.6,23.2,29.2,33.6,26
01 7 2020,26.5,31.8,23,30,36.9,25.9
01 8 2020,26.4,29.5,23.5,31.2,35.3,28.7
01 9 2020,26.2,30.6,23,29.9,34.6,27.4
01 10 2020,25.7,29.9,22.6,29.4,33.9,26.6
01 11 2020,26.1,30.2,22.1,30,33.6,26.3
01 12 2020,26,29.2,23.1,30.7,34.3,27.9
01 13 2020,25.9,28.9,23,30.6,33.4,27.7
01 14 2020,26.3,29.3,23.4,30.3,34.4,28.1
01 15 2020,26.4,30.5,22.8,30.1,33.3,27.4
01 16 2020,26.8,31,23.1,31.2,36.5,27.1
01 17 2020,26.5,29,24.3,31.7,33.6,29.4
01 18 2020,26.7,30,24.3,31.5,35.2,29.4
01 19 2020,26.3,29.1,23.6,30.4,33.6,28.3
01 20 2020,26,29.9,23,28.8,32.1,26.6
01 21 2020,25.8,29,22.8,27.1,29.2,25.2
01 22 2020,25.5,30.2,21,27,31,23.8
01 23 2020,25.9,31,22.2,27.9,31.4,25.6
01 24 2020,25.4,29.1,23.1,29.8,33.2,27.1
01 25 2020,26.2,29.8,23.5,30.6,32.8,28.4
01 26 2020,26.7,30,23.7,31.7,35.9,28.8
01 27 2020,26.3,29.9,23.7,30.3,34.5,26.9
01 28 2020,26.6,30.5,23.6,31.3,35.2,29.2
01 29 2020,26.1,29.7,22.8,30.2,33.4,27.2
01 30 2020,25.8,28.9,22.9,28.6,33.2,25
01 31 2020,25,28,22,28.2,32.6,25.5
02 1 2020,25.1,29.4,21.7,26.9,30.2,24.5
02 2 2020,24.7,29.5,20.9,26.5,31,24.2
02 3 2020,24.6,29,21.4,25.9,29,24.3
02 4 2020,24.8,30.5,19.9,26.5,31.1,22.2
02 5 2020,26.2,31.2,21.8,28.8,34.8,23.9
02 6 2020,26.9,31.8,23.8,30,33.8,26.9
02 7 2020,26.4,29.1,24,30.8,34,27.6
02 8 2020,26.8,30.9,24.1,31.5,34.8,29.5
02 9 2020,25.7,27.6,24.1,29.3,30.5,28.4
02 10 2020,25.6,29.7,22.9,27.8,30.6,25.4
02 11 2020,25.5,30.6,21.3,26.8,30.5,24.6
02 12 2020,25.6,31.2,20.9,27.1,31.1,23.7
02 13 2020,25.5,29.8,21.5,28.2,32.2,25.1
02 14 2020,26.7,31.4,22.4,29,32,26.2
02 15 2020,27.1,31.6,22.9,29,32.6,27
02 16 2020,26.7,32,21.9,30,35.3,25.7
02 17 2020,26.5,29.2,23.1,30.8,34.5,27.5
02 18 2020,26.5,30.7,23.4,28.9,31.9,26.8
02 19 2020,25.8,31.2,22,27.4,33,23.5
02 20 2020,25.5,30.7,21.2,26.6,31.7,23.6
02 21 2020,26,31,22,26.6,30.9,22.5
02 22 2020,25.9,31.6,21.5,27.3,32.2,24.1
02 23 2020,26.4,31.9,22.1,28.5,32.7,23.8
02 24 2020,26.7,31.5,22.8,29.7,33.4,27.4
02 25 2020,26.8,31.8,22.5,29.2,32.8,26.8
02 26 2020,26.4,31.4,21.9,29.5,34.5,25.8
02 27 2020,27.1,32.7,23.1,29.6,33.8,27.3
02 28 2020,26.6,32.4,21.8,28.8,33.5,25.7
02 29 2020,27.1,32.6,22.6,29.2,34,26.6
03 1 2020,27.2,32,22.6,29.5,33.9,26.7
03 2 2020,27.5,33.2,23.1,29.4,35.2,26
03 3 2020,27.3,32.8,22.5,30,35.7,26.3
03 4 2020,27.2,31.8,23,30.3,34.9,27.5
03 5 2020,27.2,32.7,22,30.1,35.7,25.7
03 6 2020,27.9,32.5,23.7,31.7,36.8,28.1
03 7 2020,28.1,32,24.2,32.3,36.8,28.7
03 8 2020,28.7,33.7,25.5,33.5,39,30.5
03 9 2020,28.8,33.8,25.1,33.7,38.5,31.1
03 10 2020,28.4,32.8,25.1,33.7,38.6,31.1
03 11 2020,28.5,33.1,25.5,32.5,37.4,29.6
03 12 2020,28.7,33,25.3,30.5,34.1,27.9
03 13 2020,28.7,33.2,24,32,37,28.7
03 14 2020,28.3,33.5,23.9,31.7,36.3,28.2
03 15 2020,27.4,30.8,24,31.3,34.9,28.6
03 16 2020,27.8,32,24.5,31.1,35.5,28.8
03 17 2020,27.7,31.8,24.1,30.8,35.9,28.7
03 18 2020,28,32.8,24.7,30.8,36.3,27.9
03 19 2020,28,32.9,23.5,31.3,36.7,28
03 20 2020,28.3,32.6,24.5,32.1,37.5,28.7
03 21 2020,28.6,33.7,24,32,36.9,28.7
03 22 2020,29,33.8,25,32.8,38.2,29.8
03 23 2020,29.1,34.5,24.6,32,38.5,28.5
03 24 2020,28.2,33.2,23,31.1,36.8,27.2
03 25 2020,28.6,33.7,24.8,30.2,34.4,27.8
03 26 2020,28.6,34.5,23.2,30.8,35.5,27.1
03 27 2020,28.6,34.1,24.2,31.5,35.3,28.8
03 28 2020,29.4,34.5,25.1,32.6,38,30.3
03 29 2020,29.4,34.5,25.2,32.2,36.9,30
03 30 2020,29.2,33.8,25.5,32.1,36.9,29.6
03 31 2020,29.5,35.2,25,32.1,36.7,28.9
04 1 2020,29.3,34.8,24.6,33.3,38.2,29.2
04 2 2020,29.3,33.9,26,32,35.5,29.5
04 3 2020,28.9,35.3,23.5,31.8,38.3,28
04 4 2020,29,34.4,24.2,32.3,38.8,28.6
04 5 2020,29.1,34.4,25,30.8,35.6,28
04 6 2020,28.7,34.2,23.6,31.6,36.3,28.4
04 7 2020,29.1,33.5,25.4,33.4,38.5,30
04 8 2020,29.2,33.4,26,33.7,37.5,31.3
04 9 2020,28.6,31.7,26.2,33.3,36.9,30.8
04 10 2020,29.1,33.6,25.5,33.1,37.8,31
04 11 2020,29.2,33.2,25.5,33.2,36.4,30.9
04 12 2020,28.8,31.9,26.2,33.6,35.9,31.7
04 13 2020,27.9,32.4,25.5,33.4,38.7,30
04 14 2020,27.7,31.5,25.6,31,34.5,28.9
04 15 2020,28.4,32.2,25.2,32.7,37.9,28.9
